case_fan_id,product_id,mm_size,color,rpm,airflow,noise_level,pwm_4-pin
270678,109565,120,Clear,2000 RPM,79 CFM,30 dB,No
270679,109566,120,Red,2000 RPM,74.48 CFM,29.28 dB,No
270680,109567,120,Black,2350 RPM,62.74 CFM,35 dB,No
270681,109568,140,Black,700 - 1200 RPM,71.8 CFM,17.6 - 26.7 dB,Yes
270682,109569,140,Black,500 - 1800 RPM,18.77 - 60.54 CFM,18.48 - 23.33 dB,Yes
270683,109570,230,White,900 RPM,156.27 CFM,25.6 dB,No
270684,109571,200,Transparent,700 RPM,103 CFM,20 dB,No
270685,109572,120,Black / Red,1650 RPM,57.24 CFM,26.4 dB,No
270686,109573,80,White / Black,850 - 2000 RPM,31 CFM,,Yes
270687,109574,140,Black / White,1500 RPM,85 CFM,29 dB,Yes
270688,109575,140,Black,1200 RPM,47.1 CFM,23.3 dB,No
270689,109576,140,Red,800 - 1500 RPM,50 - 96.5 CFM,14.5 - 29.6 dB,No
270690,109577,120,Black / Red,1200 RPM,50.44 CFM,20.7 dB,No
270691,109578,140,Black / Red,1440 RPM,49.49 CFM,29.3 dB,No
270692,109579,120,Black,1200 RPM,41.8 CFM,24.8 dB,No
270693,109580,120,Black / White,1300 RPM,54.4 CFM,24.2 dB,No
270694,109581,120,Red / Black,1200 RPM,51.02 CFM,19.6 - 25.2 dB,No
270695,109582,120,Yellow / Gray,600 - 1000 RPM,21.5 - 35.79 CFM,8.9 - 19.89 dB,No
270696,109583,120,Black,600 - 1200 RPM,21.3 - 42.6 CFM,17 - 23.7 dB,No
270697,109584,140,Black,1200 RPM,41.2 CFM,26.8 dB,No
270698,109585,120,Black,600 - 1600 RPM,81.45 CFM,8 - 18 dB,Yes
270699,109586,120,Transparent,2000 RPM,79 CFM,30 dB,No
270700,109587,120,Blue / White,800 - 2000 RPM,13.1 - 32.6 CFM,14.7 - 24.6 dB,Yes
270701,109588,120,Black,1800 RPM,35.2 CFM,26.8 dB,Yes
270702,109589,120,Clear,1000 RPM,40.99 CFM,19.5 dB,No
270703,109590,140,Black / White,1000 RPM,63.33 CFM,19.4 dB,No
270704,109591,140,Black,500 - 2000 RPM,42.8 - 171 CFM,13.4 - 43.5 dB,Yes
270705,109592,120,,650 - 1100 RPM,48.8 CFM,6 - 20 dB,Yes
270706,109593,120,Black,1500 RPM,52.05 CFM,25 dB,No
270707,109594,120,Black,1450 RPM,37.85 CFM,23 dB,Yes
270708,109595,120,Clear,1200 - 2200 RPM,43.5 - 87.5 CFM,23.5 - 38.15 dB,No
270709,109596,40,Black,4200 RPM,4.5 CFM,18.89 dB,No
270710,109597,120,Black,1000 RPM,43.5 CFM,20 dB,No
270711,109598,120,White,700 - 2200 RPM,77.9 CFM,36.8 dB,Yes
270712,109599,80,White / Black,1200 RPM,15.1 CFM,,No
270713,109600,80,Black,1400 RPM,14.8 - 23.8 CFM,8.4 dB,No
270714,109601,120,Black,600 - 1600 RPM,81.45 CFM,8 - 18 dB,Yes
270715,109602,120,Black,1500 RPM,50.5 CFM,16.5 dB,Yes
270716,109603,140,Black,750 RPM,45.4 CFM,15 dB,No
270717,109604,92,Brown,300 - 1600 RPM,30.96 - 37.85 CFM,13.1 - 17.6 dB,No
270718,109605,120,Transparent,1000 - 1800 RPM,,20 - 32 dB,No
270719,109606,80,Black,5000 RPM,67.09 CFM,43.8 dB,No
270720,109607,140,White / Black,500 - 1600 RPM,68.1 CFM,25 dB,Yes
270721,109608,80,Silver,2000 RPM,21.5 CFM,20.3 dB,No
270722,109609,140,Black / Red,1100 - 1500 RPM,71.2 - 93.4 CFM,15.5 - 23.4 dB,No
270723,109610,80,,3000 RPM,23.4 CFM,,No
270724,109611,120,Black,2400 RPM,38 CFM,11 dB,Yes
270725,109612,92,Black / Gray,350 - 1600 RPM,37.85 CFM,17.6 dB,No
270726,109613,120,Black,1500 RPM,58.85 CFM,24 dB,Yes
270727,109614,120,Black / Blue,1100 - 1500 RPM,62.5 - 81.5 CFM,14.8 - 23.1 dB,No
