case_id,product_id,type,color,power_supply,side_panel_window,external_bays,internal_bays
255377,105377,ATX Mid Tower,Black,None,Tempered Glass,0,2
255378,105378,ATX Full Tower,Gray,None,Tempered Glass,0,4
255379,105379,MicroATX Mini Tower,White,None,Acrylic,0,2
255380,105380,ATX Mid Tower,Black,None,None,4,6
255381,105381,MicroATX Mini Tower,Black,None,Acrylic,0,2
255382,105382,ATX Mid Tower,Black / Orange,None,Acrylic,1,4
255383,105383,ATX Mid Tower,Black,None,None,0,2
255384,105384,MicroATX Mid Tower,Black,None,Tempered Glass,0,1
255385,105385,MicroATX Mini Tower,Black,None,Tinted Tempered Glass,0,2
255386,105386,ATX Mid Tower,Black,None,Acrylic,4,4
255387,105387,Mini ITX Tower,Black,None,Tempered Glass,0,1
255388,105388,ATX Mid Tower,White / Black,None,Tempered Glass,0,2
255389,105389,MicroATX Mini Tower,Black,None,Acrylic,0,1
255390,105390,ATX Mid Tower,Black,None,Tinted Tempered Glass,0,3
255391,105391,ATX Mid Tower,Black,None,None,2,7
255392,105392,MicroATX Mini Tower,Black,None,None,2,2
255393,105393,MicroATX Slim,Black,300 W,None,1,1
255394,105394,ATX Mid Tower,Black,None,Tinted Tempered Glass,0,2
255395,105395,ATX Full Tower,Black,None,Acrylic,2,0
255396,105396,ATX Full Tower,Black,None,Acrylic,2,2
255397,105397,ATX Full Tower,White,None,Acrylic,3,6
255398,105398,ATX Full Tower,Silver / Black,None,Tempered Glass,2,7
255399,105399,ATX Mid Tower,Black / Red,None,Tempered Glass,0,2
255400,105400,Mini ITX Desktop,Black,None,Tempered Glass,0,1
255401,105401,ATX Full Tower,Black,None,Tinted Tempered Glass,3,6
255402,105402,ATX Full Tower,Black / Silver,None,Tinted Tempered Glass,3,13
255403,105403,ATX Mid Tower,White,None,Tempered Glass,0,2
255404,105404,ATX Mid Tower,Black,None,Acrylic,2,3
255405,105405,ATX Mid Tower,Black / White,None,Tinted Tempered Glass,1,8
255406,105406,ATX Mid Tower,Black / Blue,None,Tempered Glass,0,2
255407,105407,ATX Mid Tower,Black,None,Tempered Glass,0,2
255408,105408,ATX Mid Tower,Black / Red,None,Tempered Glass,0,4
255409,105409,ATX Mid Tower,Black,None,Tinted Tempered Glass,0,3
255410,105410,MicroATX Mini Tower,Black,None,Acrylic,0,1
255411,105411,ATX Full Tower,Black,None,Acrylic,2,3
255412,105412,ATX Mid Tower,Black / Blue,None,Acrylic,1,4
255413,105413,Mini ITX Desktop,Black,None,None,0,1
255414,105414,ATX Full Tower,Black,None,None,2,2
255415,105415,MicroATX Mini Tower,Black,None,None,1,2
255416,105416,ATX Mid Tower,Black / Red,None,Tinted Tempered Glass,0,2
255417,105417,ATX Mid Tower,White,None,Acrylic,0,2
255418,105418,ATX Mid Tower,Black,None,None,0,3
255419,105419,ATX Full Tower,Black,None,None,6,6
255420,105420,MicroATX Mini Tower,Black,None,None,2,2
255421,105421,MicroATX Mid Tower,Black,None,Acrylic,0,2
255422,105422,ATX Mid Tower,Black / Gray,None,Acrylic,2,2
255423,105423,ATX Mid Tower,Black / Gray,None,Acrylic,0,3
255424,105424,ATX Full Tower,Silver / Black,None,Tempered Glass,1,4
255425,105425,ATX Mid Tower,Black,None,None,3,5
255426,105426,ATX Mid Tower,Black,None,Acrylic,0,3
255427,105427,ATX Mid Tower,Black,None,Tempered Glass,0,2
255428,105428,ATX Full Tower,Black / Silver,None,Acrylic,2,7
255429,105429,ATX Mid Tower,Black,None,Tempered Glass,0,2
255430,105430,MicroATX Mid Tower,White,None,Tempered Glass,0,2
255431,105431,ATX Mid Tower,Black,None,Tempered Glass,0,2
255432,105432,ATX Mid Tower,Black,None,Acrylic,2,8
255433,105433,ATX Mid Tower,White,None,Tempered Glass,0,2
255434,105434,ATX Mid Tower,Black / Red,None,Acrylic,0,3
255435,105435,ATX Full Tower,Black,None,Tempered Glass,0,2
255436,105436,ATX Mid Tower,Black / Blue,None,Acrylic,1,4
255437,105437,ATX Full Tower,Black,None,Tempered Glass,0,2
255438,105438,ATX Mid Tower,Black / White,None,Acrylic,0,8
255439,105439,MicroATX Mini Tower,White / Blue,None,Tempered Glass,0,1
255440,105440,ATX Full Tower,Silver,None,Tempered Glass,0,4
255441,105441,MicroATX Mini Tower,Black,None,None,1,4
