power_supply_id,product_id,form_factor,efficiency_rating,wattage,modular,color
351117,137694,ATX,80+ Silver,750 W,Full,
351118,137695,ATX,80+ Gold,800 W,Semi,
351119,137696,ATX,80+ Bronze,650 W,No,
351120,137697,ATX,80+ Gold,550 W,No,
351121,137698,ATX,80+,500 W,No,Black
351122,137699,ATX,80+,630 W,No,
351123,137700,ATX,80+ Bronze,950 W,No,
351124,137701,ATX,,500 W,No,
351125,137702,ATX,80+ Bronze,750 W,Semi,
351126,137703,ATX,80+,600 W,No,
351127,137704,ATX,80+ Bronze,400 W,No,Black
351128,137705,ATX,80+,400 W,No,
351129,137706,ATX,80+,550 W,No,
351130,137707,ATX,80+ Titanium,1000 W,Full,
351131,137708,ATX,80+ Gold,600 W,Semi,
351132,137709,ATX,80+ Bronze,620 W,Semi,
351133,137710,ATX,,400 W,No,
351134,137711,ATX,80+ Bronze,600 W,No,
351135,137712,ATX,80+ Bronze,650 W,No,
351136,137713,TFX,80+ Bronze,300 W,No,
351137,137714,ATX,80+ Bronze,400 W,No,
351138,137715,ATX,80+ Platinum,650 W,Full,
351139,137716,ATX,80+ Silver,400 W,Semi,
351140,137717,ATX,80+ Gold,750 W,Semi,Black / Red
351141,137718,ATX,,600 W,No,
351142,137719,Mini ITX,80+,220 W,No,
351143,137720,ATX,80+ Gold,750 W,No,
351144,137721,ATX,80+,550 W,No,
351145,137722,ATX,80+ Bronze,600 W,No,
351146,137723,ATX,80+ Bronze,700 W,No,
351147,137724,ATX,,525 W,No,
351148,137725,ATX,80+ Gold,550 W,Full,Black / Orange
351149,137726,ATX,80+ Gold,650 W,Semi,
351150,137727,ATX,80+ Gold,550 W,No,
351151,137728,ATX,80+ Bronze,500 W,Semi,
351152,137729,ATX,80+ Bronze,750 W,Full,
351153,137730,ATX,80+ Gold,750 W,Full,
351154,137731,ATX,80+ Platinum,1000 W,Full,
351155,137732,ATX,80+ Titanium,750 W,Full,Black
351156,137733,ATX,,460 W,No,
351157,137734,ATX,80+ Titanium,850 W,Full,
351158,137735,Mini ITX,80+ Bronze,300 W,No,
351159,137736,ATX,80+ Titanium,1200 W,Full,
351160,137737,ATX,80+ Bronze,600 W,No,
351161,137738,ATX,80+ Gold,650 W,Semi,Black
351162,137739,ATX,80+ Gold,500 W,No,
351163,137740,ATX,80+ Gold,1200 W,Semi,
351164,137741,ATX,80+ Gold,750 W,Semi,
351165,137742,ATX,80+ Gold,750 W,No,Black
351166,137743,ATX,80+ Gold,1300 W,Semi,
351167,137744,ATX,80+ Bronze,430 W,No,Black / Red
351168,137745,ATX,80+ Bronze,430 W,No,
351169,137746,ATX,80+ Bronze,1000 W,No,
351170,137747,ATX,80+ Gold,1050 W,Full,
351171,137748,ATX,80+ Bronze,850 W,Full,
351172,137749,ATX,80+ Bronze,1000 W,Semi,
351173,137750,ATX,80+ Gold,750 W,Semi,
351174,137751,ATX,80+,530 W,No,
351175,137752,ATX,80+ Silver,950 W,No,
351176,137753,ATX,80+ Platinum,1200 W,Full,
351177,137754,ATX,,700 W,No,
351178,137755,ATX,80+ Bronze,650 W,No,
351179,137756,ATX,80+,600 W,No,
351180,137757,ATX,,550 W,No,
351181,137758,ATX,80+ Gold,700 W,No,
351182,137759,SFX,80+ Bronze,400 W,No,
351183,137760,ATX,80+ Silver,1050 W,Semi,
351184,137761,ATX,80+ Bronze,350 W,No,
351185,137762,ATX,,500 W,No,
351186,137763,ATX,80+ Platinum,1200 W,Full,
351187,137764,ATX,80+ Gold,450 W,No,
351188,137765,ATX,80+ Gold,750 W,Full,Black / Red
351189,137766,ATX,80+ Gold,850 W,Full,
351190,137767,ATX,80+ Platinum,650 W,No,
351191,137768,ATX,80+ Silver,500 W,Semi,
351192,137769,ATX,80+ Bronze,500 W,No,
351193,137770,ATX,80+ Gold,1200 W,Full,
351194,137771,ATX,,850 W,No,
351195,137772,ATX,80+ Gold,550 W,Semi,
351196,137773,ATX,80+,550 W,Semi,
351197,137774,ATX,80+ Bronze,400 W,No,
351198,137775,ATX,80+,700 W,No,
351199,137776,ATX,80+ Silver,850 W,Semi,
351200,137777,ATX,80+ Gold,450 W,No,
351201,137778,ATX,80+ Gold,850 W,Full,Black
351202,137779,ATX,,500 W,No,
351203,137780,ATX,80+,300 W,No,
351204,137781,ATX,80+ Gold,500 W,No,
351205,137782,Mini ITX,,220 W,No,
351206,137783,ATX,80+ Gold,600 W,No,
351207,137784,ATX,80+ Gold,450 W,No,
351208,137785,ATX,80+,550 W,No,
351209,137786,ATX,80+ Platinum,700 W,Semi,
351210,137787,ATX,80+ Gold,650 W,Semi,
351211,137788,ATX,80+ Gold,550 W,Semi,
351212,137789,ATX,80+ Platinum,750 W,Full,
