internal_harddrive_id,product_id,capacity,price_per_gb,harddrive_type,cache,form_factor,interface
300267,115613,120 GB,0.21,SSD,,2.5 in,SATA 6 Gb/s
300268,115614,500 GB,,SSD,,M.2-2280,M.2 (B+M)
300269,115615,2 TB,0.11,SSD,,2.5 in,SATA 6 Gb/s
300270,115616,120 GB,0.3,SSD,,2.5 in,SATA 6 Gb/s
300271,115617,128 GB,0.3,SSD,,M.2-2280,M.2 (B+M)
300272,115618,1 TB,0.04,7200 RPM,32 MB,3.5 in,SATA 3 Gb/s
300273,115619,1.92 TB,0.15,SSD,,M.2-2280,M.2 (M)
300274,115620,512 GB,0.16,SSD,,M.2-2280,M.2 (M)
300275,115621,500 GB,0.15,SSD,,M.2-2280,M.2 (M)
300276,115622,1 TB,0.08,Hybrid,64 MB,3.5 in,SATA 6 Gb/s
300277,115623,1 TB,0.21,SSD,,M.2-2280,M.2 (M)
300278,115624,256 GB,0.18,SSD,,M.2-2280,M.2 (M)
300279,115625,1 TB,0.05,5400 RPM,64 MB,3.5 in,SATA 6 Gb/s
300280,115626,16 TB,0.04,7200 RPM,256 MB,3.5 in,SATA 6 Gb/s
300281,115627,14 TB,0.04,7200 RPM,512 MB,3.5 in,SATA 6 Gb/s
300282,115628,512 GB,0.16,SSD,,M.2-2280,M.2 (M)
300283,115629,1 TB,,7200 RPM,32 MB,3.5 in,SATA 6 Gb/s
300284,115630,4 TB,0.03,7200 RPM,128 MB,3.5 in,SATA 6 Gb/s
300285,115631,512 GB,0.16,SSD,512 MB,M.2-2280,M.2 (M)
300286,115632,3 TB,0.04,7200 RPM,64 MB,3.5 in,SATA 6 Gb/s
300287,115633,256 GB,0.23,SSD,,M.2-2280,M.2 (M)
300288,115634,6 TB,0.03,5400 RPM,256 MB,3.5 in,SATA 6 Gb/s
300289,115635,3 TB,0.03,5400 RPM,64 MB,3.5 in,SATA 6 Gb/s
300290,115636,1 TB,0.11,SSD,,2.5 in,SATA 6 Gb/s
300291,115637,500 GB,0.22,SSD,512 MB,M.2-2280,M.2 (B+M)
300292,115638,1 TB,0.17,SSD,,M.2-2280,M.2 (M)
300293,115639,512 GB,0.16,SSD,,M.2-2280,M.2 (M)
300294,115640,120 GB,0.26,SSD,,2.5 in,SATA 6 Gb/s
300295,115641,1 TB,0.1,SSD,,2.5 in,SATA 6 Gb/s
300296,115642,1 TB,0.26,SSD,,PCI-E,PCIe x4
300297,115643,8 TB,0.03,7200 RPM,256 MB,3.5 in,SATA 6 Gb/s
