mouse_id,product_id,tracking_method,connection_type,maximum_dpi,hand_orientation,color
336201,135557,Optical,Wired,800,Both,Silver / Black
336202,135558,Optical,Wired,800,,Black
336203,135559,Laser,Wireless,,Both,Silver
336204,135560,Optical,Wireless,,,Black / Pink
336205,135561,Optical,Wired,,Both,Black
336206,135562,Optical,Wireless,1000,Both,Black / Blue
336207,135563,Optical,Wired,,Both,Black
336208,135564,Optical,Wired,,,White / Gray
336209,135565,Optical,Wireless,,Both,Gray
336210,135566,Laser,Wired,8200,Right,Black / White
336211,135567,Optical,Wireless,1600,Both,White
336212,135568,Optical,Wireless,1000,,Black
336213,135569,Optical,Wired,2000,Right,Black
336214,135570,Laser,Wired,5600,,Silver
336215,135571,Optical,Wireless,,,Black / Green
336216,135572,Optical,Wireless,1000,Both,Black
336217,135573,Optical,Wireless,,Right,Silver
336218,135574,Laser,Bluetooth Wireless,1000,Both,Black
336219,135575,Laser,Wireless,,Both,Blue
336220,135576,Optical,Wireless,,Both,White
336221,135577,Optical,Wired,,Both,Black
336222,135578,Optical,Wireless,1000,Both,Black
336223,135579,Optical,Wireless,,Both,Black
336224,135580,Optical,Wireless,,Both,Gray
336225,135581,Optical,Wireless,,Both,Silver
336226,135582,Optical,Wireless,,Both,Black / Silver
336227,135583,Optical,Wired,,Both,Silver
336228,135584,Laser,Wireless,,Both,Black
336229,135585,Optical,Wireless,1000,Both,Pink
336230,135586,Optical,Wireless,,,Blue
336231,135587,Optical,Wireless,1000,Both,Black
336232,135588,Laser,Wireless,,Both,Black / Gold
336233,135589,Optical,Wired,800,Both,White / Black
336234,135590,Optical,Wireless,1600,,Silver / White
336235,135591,Optical,Wired,800,Both,Green
336236,135592,Optical,Wired,800,,Silver / Black
336237,135593,Optical,Wireless,1600,Both,Black
336238,135594,Laser,Wireless,1600,Both,Black / Red
336239,135595,Optical,Wired,,Both,Black / Silver
336240,135596,Laser,Wireless,,Both,Silver
336241,135597,Optical,Wireless,,,Red
336242,135598,Optical,Wireless,,,Purple
336243,135599,Laser,Wireless,,Both,Black / Silver
336244,135600,Laser,Wireless,,Both,Black / Blue
336245,135601,Optical,Wired,800,Both,Black
336246,135602,Optical,Wired,,Both,White
336247,135603,Optical,Wireless,1000,,Black
336248,135604,Optical,Wireless,1600,Right,Black / Gray
336249,135605,Optical,Wired,3500,Right,Purple
336250,135606,Optical,Wired,800,Both,Gray / Blue
336251,135607,Laser,Wireless,,Both,Red
336252,135608,Laser,Bluetooth Wireless,,Both,White
336253,135609,Optical,Wireless,1000,Both,Black / Blue
336254,135610,Laser,Bluetooth Wireless,800,Both,Black
336255,135611,Laser,Bluetooth Wireless,800,Both,Black
336256,135612,Optical,Wireless,1000,Both,Silver
336257,135613,Optical,Wired,,Both,Black
336258,135614,Laser,Wireless,,Both,Black
336259,135615,Laser,Wireless,5600,,Black
336260,135616,Optical,Wireless,,Both,Gray
336261,135617,Laser,Wireless,,Both,Black / Gray
336262,135618,Laser,Wireless,,Both,Black
336263,135619,Optical,Wired,,Both,White
336264,135620,Optical,Wired,1000,,Blue
336265,135621,Optical,Wireless,,Both,Silver / Blue
336266,135622,Optical,Wireless,,,Black / Blue
336267,135623,Optical,Wireless,1000,Both,Black / White
336268,135624,Optical,Wireless,1600,Right,Black
336269,135625,Optical,Wired,1000,,Blue
336270,135626,Optical,Wireless,1000,Both,Red
336271,135627,Optical,Wired,,Right,Black
336272,135628,Optical,Wireless,,Both,Black / Blue
336273,135629,Optical,Wired,800,Both,Black
336274,135630,Laser,Bluetooth Wireless,4000,Right,Black
336275,135631,Optical,Wireless,,Both,Black / Gray
336276,135632,Optical,Wireless,,Both,Blue
336277,135633,Optical,Wired,,Both,Black
336278,135634,Optical,Wireless,,Both,White
336279,135635,Optical,Wireless,1000,,Green
336280,135636,Optical,Wireless,,Right,Black
336281,135637,Optical,Wireless,,Both,Black
336282,135638,Optical,Wired,3500,Right,Silver
336283,135639,Optical,Wired,800,Both,Black
336284,135640,Optical,Wired,,Both,Silver / Blue
336285,135641,Optical,Wired,,Right,Black
336286,135642,Optical,Wired,800,Both,Black
336287,135643,Laser,Wireless,,Both,Silver
336288,135644,Optical,Wired,,Both,White
336289,135645,Optical,Wireless,1000,Both,Black / Gray
336290,135646,Optical,Wired,,,Black
336291,135647,Optical,Wireless,,Right,Black / Gray
