ups_id,product_id,capacity_w,capacity_va
375516,139632,900,1000
375517,139633,1200,1500
375518,139634,2500,3000
375519,139635,800,1000
375520,139636,1700,2200
375521,139637,300,550
375522,139638,450,700
375523,139639,500,750
375524,139640,1920,2200
375525,139641,1350,1500
375526,139642,500,750
375527,139643,900,1000
375528,139644,1350,1500
375529,139645,1800,2200
375530,139646,2250,3000
375531,139647,2250,3000
375532,139648,2880,3000
375533,139649,670,1000
375534,139650,700,1000
375535,139651,670,1000
375536,139652,670,1000
375537,139653,670,1000
375538,139654,670,1000
375539,139655,700,1000
375540,139656,185,325
375541,139657,180,300
375542,139658,130,200
375543,139659,180,300
375544,139660,250,400
375545,139661,300,450
375546,139662,257,450
375547,139663,300,500
375548,139664,300,500
375549,139665,360,600
375550,139666,400,600
375551,139667,300,500
375552,139668,185,325
375553,139669,200,350
375554,139670,225,350
375555,139671,200,350
375556,139672,200,350
375557,139673,200,350
375558,139674,200,350
375559,139675,200,350
375560,139676,200,350
375561,139677,240,400
375562,139678,300,500
375563,139679,325,500
375564,139680,325,500
375565,139681,300,500
375566,139682,300,500
375567,139683,325,500
375568,139684,300,525
375569,139685,330,550
375570,139686,330,550
375571,139687,330,550
375572,139688,330,550
375573,139689,330,700
375574,139690,330,550
375575,139691,390,650
375576,139692,390,650
375577,139693,390,650
375578,139694,390,650
375579,139695,390,650
375580,139696,405,700
375581,139697,405,700
375582,139698,405,700
375583,139699,450,750
375584,139700,450,750
375585,139701,450,750
375586,139702,450,750
375587,139703,300,500
375588,139704,257,450
375589,139705,225,350
375590,139706,325,500
375591,139707,325,500
375592,139708,300,500
375593,139709,225,350
375594,139710,1000,1500
375595,139711,6400,8000
375596,139712,325,500
375597,139713,325,500
375598,139714,865,1500
375599,139715,420,700
375600,139716,980,1440
375601,139717,980,1440
375602,139718,980,1440
375603,139719,980,1440
375604,139720,980,1500
375605,139721,980,1500
375606,139722,1000,1500
375607,139723,980,1500
375608,139724,1980,2200
375609,139725,1980,2200
375610,139726,1980,2200
375611,139727,2700,3000
375612,139728,2700,3000
375613,139729,2700,2880
375614,139730,2700,3000
375615,139731,2700,3000
375616,139732,2700,3000
375617,139733,2250,3000
375618,139734,2700,3000
375619,139735,2700,3000
375620,139736,3750,5000
375621,139737,410,620
375622,139738,450,700
375623,139739,450,700
375624,139740,500,750
375625,139741,480,750
375626,139742,480,750
375627,139743,480,750
375628,139744,480,750
375629,139745,600,1000
375630,139746,600,1000
375631,139747,900,1500
375632,139748,800,1000
375633,139749,800,1000
375634,139750,1400,2000
375635,139751,1400,2000
375636,139752,2100,3000
375637,139753,2100,3000
375638,139754,3500,5000
375639,139755,3500,5000
375640,139756,4200,6000
375641,139757,4200,6000
375642,139758,1750,2200
375643,139759,1750,2200
375644,139760,600,1000
375645,139761,600,1000
375646,139762,865,1500
375647,139763,670,1000
375648,139764,1980,2200
375649,139765,1050,1400
375650,139766,1980,2200
375651,139767,2700,3000
375652,139768,2700,3000
375653,139769,2700,3000
375654,139770,2700,3000
375655,139771,8400,12000
375656,139772,275,500
375657,139773,16,
375658,139774,24,
375659,139775,900,1500
375660,139776,5400,6000
375661,139777,550,800
375662,139778,1500,2200
375663,139779,420,750
375664,139780,700,1000
375665,139781,525,750
375666,139782,,500
375667,139783,3000,3300
375668,139784,3000,3300
375669,139785,1000,1500
375670,139786,1000,1500
375671,139787,1000,1500
375672,139788,670,1000
375673,139789,670,1000
375674,139790,950,1400
375675,139791,950,1400
375676,139792,500,750
375677,139793,4500,5000
375678,139794,500,750
375679,139795,1050,1500
375680,139796,1000,1500
375681,139797,1000,1500
375682,139798,1920,2200
375683,139799,2700,3000
375684,139800,10000,11000
375685,139801,,675
375686,139802,300,500
375687,139803,420,700
375688,139804,425,700
375689,139805,900,1500
375690,139806,480,900
375691,139807,175,300
375692,139808,705,1050
375693,139809,450,750
375694,139810,280,500
375695,139811,425,700
375696,139812,475,800
375697,139813,300,500
375698,139814,940,1400
375699,139815,940,1400
375700,139816,180,300
375701,139817,225,330
375702,139818,425,700
375703,139819,500,750
375704,139820,300,500
375705,139821,225,350
375706,139822,940,1500
375707,139823,300,500
375708,139824,1920,2200
375709,139825,300,500
375710,139826,500,1000
375711,139827,650,1050
375712,139828,1440,1500
375713,139829,980,1500
375714,139830,1700,2200
375715,139831,2250,3000
375716,139832,450,750
375717,139833,500,750
375718,139834,1200,1500
375719,139835,5400,6000
375720,139836,5400,6000
375721,139837,800,1000
375722,139838,7000,10000
375723,139839,1200,1500
375724,139840,1800,2200
375725,139841,2400,3000
375726,139842,2400,3000
375727,139843,3500,5000
375728,139844,3500,5000
375729,139845,4200,6000
375730,139846,4200,6000
375731,139847,6400,8000
375732,139848,800,1000
375733,139849,1400,2000
375734,139850,1600,2200
375735,139851,2400,3000
375736,139852,705,1050
375737,139853,2250,3000
375738,139854,4000,5000
