cpu_cooler_id,product_id,fan_rpm,noise_level,color,radiator_size
280439,112031,800 - 2700 RPM,37.7 dB,,240 mm
280440,112032,500 - 2000 RPM,9.32 - 33.67 dB,,
280441,112033,,,,120 mm
280442,112034,300 - 1400 RPM,4 - 28 dB,,
280443,112035,1000 - 2000 RPM,21.8 - 33 dB,Black,360 mm
280444,112036,1500 - 2500 RPM,13 - 25 dB,,
280445,112037,2400 RPM,6.5 - 27 dB,,240 mm
280446,112038,1000 - 1500 RPM,19 - 25 dB,,
280447,112039,600 - 2000 RPM,24.4 dB,,
280448,112040,500 - 1300 RPM,13 - 30.7 dB,,
280449,112041,2500 RPM,,,
280450,112042,750 - 1200 RPM,10.1 - 19.6 dB,,
280451,112043,600 - 1800 RPM,21.9 - 27.6 dB,,
280452,112044,900 - 1300 RPM,17 - 21 dB,,
280453,112045,500 - 1600 RPM,8 - 30 dB,,
280454,112046,900 - 1800 RPM,30 dB,Black / White,360 mm
280455,112047,650 - 2000 RPM,6 - 30 dB,Black,240 mm
280456,112048,900 - 2400 RPM,17.8 - 32.5 dB,,
280457,112049,1000 - 1800 RPM,26.3 dB,Black / Silver,
280458,112050,550 - 1700 RPM,29 dB,Black,240 mm
280459,112051,650 - 2000 RPM,15 dB,,120 mm
280460,112052,,25 dB,Black / White,
280461,112053,500 - 2000 RPM,16 - 35 dB,,240 mm
280462,112054,1400 RPM,12 - 19.2 dB,,
280463,112055,1000 - 2000 RPM,20 dB,,240 mm
280464,112056,700 - 1800 RPM,18 - 35.2 dB,White,240 mm
280465,112057,600 - 1800 RPM,10.5 - 31.8 dB,Black,240 mm
280466,112058,900 - 2400 RPM,17.8 - 26.4 dB,,
280467,112059,800 - 2000 RPM,18 - 34 dB,,120 mm
280468,112060,200 - 2100 RPM,,Yellow / Black,
280469,112061,700 - 1800 RPM,18 - 35.2 dB,,240 mm
280470,112062,600 - 2000 RPM,,,
280471,112063,300 - 1600 RPM,25 dB,Black / Silver,
280472,112064,800 - 2000 RPM,20 - 37 dB,,140 mm
280473,112065,600 - 1500 RPM,19 - 23 dB,Silver / Black,
280474,112066,1000 - 2200 RPM,28.87 dB,,
280475,112067,500 - 2300 RPM,14 - 28 dB,Black,240 mm
280476,112068,200 - 1800 RPM,24.4 dB,,
280477,112069,500 - 1800 RPM,17.6 - 31.3 dB,,120 mm
280478,112070,700 - 1300 RPM,24 dB,,
280479,112071,650 - 2000 RPM,22.95 dB,Black,
280480,112072,300 - 1400 RPM,17.8 - 27.3 dB,,
280481,112073,600 - 1800 RPM,17.8 - 34.1 dB,,120 mm
280482,112074,2100 RPM,43 dB,,280 mm
280483,112075,600 - 2200 RPM,13 - 37 dB,,240 mm
280484,112076,1200 - 2500 RPM,26 dB,Red / Black,
280485,112077,900 - 1300 RPM,12.6 - 19.8 dB,,
280486,112078,300 - 1600 RPM,25 dB,Black / Silver,
280487,112079,1000 - 1800 RPM,26.3 dB,Black / Silver,
280488,112080,300 - 1400 RPM,12 - 19 dB,,
280489,112081,650 - 2000 RPM,8 - 30 dB,Black,
280490,112082,1000 - 3000 RPM,,,
280491,112083,1500 RPM,6.6 - 18.8 dB,,
280492,112084,1700 RPM,30.32 dB,,120 mm
280493,112085,800 - 2800 RPM,18 - 33 dB,,
280494,112086,,,,
280495,112087,1200 - 2500 RPM,26 dB,Black,
280496,112088,500 - 2000 RPM,,,
280497,112089,600 - 2400 RPM,16 - 38 dB,,240 mm
280498,112090,600 - 1600 RPM,32 dB,,
280499,112091,,,,
280500,112092,200 - 1800 RPM,24.4 dB,,
