motherboard_id,product_id,socket_per_cpu,form_factor,ram_slots,max_ram,color
332404,133720,LGA2011-3,EATX,8,128 GB,Black / Yellow
332405,133721,LGA1150,ATX,4,32 GB,Brown / Black
332406,133722,LGA1150,Micro ATX,4,32 GB,Brown / Black
332407,133723,LGA1150,ATX,4,32 GB,Black / Red
332408,133724,LGA1150,ATX,4,32 GB,Black / Blue
332409,133725,LGA1150,Micro ATX,4,32 GB,Black / Blue
332410,133726,LGA775,Micro ATX,2,4 GB,
332411,133727,FM1,Micro ATX,2,64 GB,Blue / White
332412,133728,LGA1155,ATX,4,32 GB,
332413,133729,LGA1150,Mini ITX,2,16 GB,Brown / Black
332414,133730,LGA1366,ATX,6,24 GB,Black / Multicolor
332415,133731,AM4,Micro ATX,2,32 GB,Black
332416,133732,LGA1155,Micro ATX,2,16 GB,Blue / White
332417,133733,LGA1155,Micro ATX,4,32 GB,Blue / White
332418,133734,LGA1150,ATX,4,32 GB,Black / Red
332419,133735,LGA1155,ATX,4,32 GB,Black / Silver
332420,133736,LGA1151,ATX,4,64 GB,Black / Gold
332421,133737,LGA1151,ATX,4,64 GB,Black / Gold
332422,133738,FM2+,Micro ATX,2,32 GB,Black / Gray
332423,133739,FM2,Micro ATX,2,32 GB,
332424,133740,LGA1151,ATX,4,64 GB,Black / Blue
332425,133741,LGA1150,ATX,4,32 GB,Green / Blue
332426,133742,LGA1151,Micro ATX,4,64 GB,Black / Orange
332427,133743,LGA1155,ATX,4,32 GB,Black / Gold
332428,133744,LGA1155,Mini ITX,2,16 GB,Black / Silver
332429,133745,FM2+,ATX,4,64 GB,Black / Red
332430,133746,FM1,Micro ATX,2,16 GB,Black / Blue
332431,133747,FM1,Micro ATX,2,8 GB,Black / Red
332432,133748,LGA1150,Micro ATX,2,16 GB,Black / Silver
332433,133749,LGA1151,ATX,4,64 GB,Black / Orange
332434,133750,LGA1150,Thin Mini ITX,2,16 GB,Black
332435,133751,LGA1150,Micro ATX,4,32 GB,Black / Blue
332436,133752,LGA1150,Micro ATX,4,32 GB,Black / Blue
332437,133753,LGA1156,Mini ITX,2,8 GB,Blue / White
332438,133754,LGA1156,Micro ATX,4,16 GB,Black / Gray
332439,133755,AM3+,ATX,4,128 GB,
332440,133756,AM3/AM2+/AM2,Micro ATX,2,4 GB,
332441,133757,AM3,Micro ATX,4,16 GB,Black / Yellow
332442,133758,AM3,ATX,4,16 GB,Blue / White
332443,133759,AM3,Micro ATX,4,16 GB,Black / Blue
332444,133760,LGA2011,ATX,4,32 GB,Black / Silver
332445,133761,Integrated Athlon II X2 215,Micro ATX,2,16 GB,Black / Red
332446,133762,AM3,ATX,4,16 GB,Black / Blue
332447,133763,LGA1156,Micro ATX,4,16 GB,Black / Blue
332448,133764,LGA1150,Micro ATX,4,32 GB,Brown / Black
332449,133765,LGA1156,ATX,4,16 GB,Black / Blue
332450,133766,LGA1155,Micro ATX,2,16 GB,Brown / Black
332451,133767,Integrated A4-5000,Mini ITX,2,32 GB,Black
332452,133768,AM3,Micro ATX,2,8 GB,Black / Blue
332453,133769,LGA775,Micro ATX,2,8 GB,
332454,133770,AM3+,Micro ATX,2,8 GB,Black / Blue
332455,133771,LGA775,ATX,4,16 GB,
