keyboard_id,product_id,style,switch_type,backlit,tenkeyless,connection_type,color
312111,121245,Slim,Cherry MX Blue,White,Yes,Wired,Black
312112,121246,Gaming,Cherry MX Black,Blue,No,Wired,Black
312113,121247,Gaming,Cherry MX Black,White,No,Wired,Black
312114,121248,Gaming,Cherry MX Black,Purple,No,Wired,Black
312115,121249,Mini,Cherry MX Brown,No,Yes,Wired,Black
312116,121250,Standard,Cherry MX Black,No,Yes,Wired,Black
312117,121251,Gaming,Cherry MX Black,No,No,Wired,Black
312118,121252,Gaming,Cherry MX Black,Red,No,Wired,Black
312119,121253,Slim,Cherry MX Blue,Purple,Yes,Wired,Black
312120,121254,Slim,Cherry MX Red,Purple,Yes,Wired,Black
312121,121255,Gaming,Cherry MX Brown,No,No,Wired,White
312122,121256,Gaming,Cherry MX Blue,Purple,No,Wired,Black
312123,121257,Slim,Cherry MX Brown,No,Yes,Wired,Black / White
312124,121258,Gaming,Cherry MX Blue,Yellow,No,Wired,Black
312125,121259,Slim,Cherry MX Blue,Blue,Yes,Wired,Black
312126,121260,Slim,Cherry MX Brown,Red,Yes,Wired,Black
312127,121261,Gaming,Cherry MX Brown,No,No,Wired,Black
312128,121262,Gaming,Cherry MX Blue,No,No,Wired,Black
312129,121263,Gaming,Cherry MX Black,Green,No,Wired,Black
312130,121264,Slim,Cherry MX Blue,Green,Yes,Wired,Black
312131,121265,Gaming,Cherry MX Black,Blue,No,Wired,Black
312132,121266,Slim,Cherry MX Brown,No,Yes,Wired,Black / White
312133,121267,Gaming,Cherry MX Black,Yellow,No,Wired,Black
312134,121268,Slim,Cherry MX Blue,No,Yes,Wired,Black / White
312135,121269,Slim,Cherry MX Red,No,Yes,Wired,Black / White
312136,121270,Slim,Cherry MX Blue,No,Yes,Wired,Black / White
312137,121271,Gaming,Cherry MX Red,No,No,Wired,Black
312138,121272,Slim,Cherry MX Red,No,Yes,Wired,Black / White
312139,121273,Slim,Cherry MX Red,Blue,Yes,Wired,Black
312140,121274,Gaming,Cherry MX Red,Blue,No,Wired,Black
312141,121275,Slim,Cherry MX Blue,Red,Yes,Wired,Black
312142,121276,Gaming,Cherry MX Blue,Green,No,Wired,Black
312143,121277,Slim,Cherry MX Red,Red,Yes,Wired,Black
312144,121278,Slim,Cherry MX Black,No,Yes,Wired,Black / White
