Name,Cores,Clock,Socket,Process,L3 Cache,TDP
Core i3 10320,4 / 8,3.8 to 4.6 GHz,LGA1200,14 nm,8MB,91 W
Core i3 10325,4 / 8,3.9 to 4.7 GHz,LGA1200,14 nm,8MB,65 W
Core i3 10350K,4 / 8,4.1 to 4.8 GHz,LGA1200,14 nm,8MB,91 W
Core i3 1110G4,2 / 4,1.8 to 3.9 GHz,BGA1598,10 nm,6MB,15 W
Core i3 1115G4,2 / 4,3 to 4.1 GHz,BGA1449,10 nm,6MB,28 W
Core i3 1120G4,4 / 8,1.1 to 3.5 GHz,BGA1598,10 nm,8MB,15 W
Core i3 1125G4,4 / 8,2 to 3.7 GHz,BGA1449,10 nm,8MB,28 W
Core i5 10200H,4 / 8,2.4 to 4.1 GHz,BGA1440,14 nm,6MB,45 W
Core i5 10210U,4 / 8,1.6 to 4.2 GHz,BGA1440,14 nm,6MB,25 W
Core i5 10210Y,4 / 8,1 to 4 GHz,BGA1440,14 nm,6MB,9 W
Core i5 10300H,4 / 8,2.5 to 4.5 GHz,BGA1440,14 nm,6MB,45 W
Core i5 1030G4,4 / 8,0.7 to 3.5 GHz,BGA1440,10 nm,6MB,12 W
Core i5 1030G7,4 / 8,0.8 to 3.5 GHz,BGA1440,10 nm,6MB,12 W
Core i5 10310Y,4 / 8,1.1 to 4.1 GHz,BGA1440,14 nm,6MB,9 W
Core i5 1035G1,4 / 8,1 to 3.6 GHz,BGA1440,10 nm,6MB,25 W
Core i5 1035G4,4 / 8,1.1 to 3.7 GHz,BGA1440,10 nm,6MB,25 W
Core i5 1035G7,4 / 8,1.2 to 3.7 GHz,BGA1440,10 nm,6MB,25 W
Core i5 10400,6 / 12,2.9 to 4.3 GHz,LGA1200,14 nm,12MB,65 W
Core i5 10400F,6 / 12,2.9 to 4.3 GHz,LGA1200,14 nm,12MB,65 W
Core i5 10400H,4 / 8,2.6 to 4.6 GHz,BGA1440,14 nm,6MB,45 W
Core i5 10500,6 / 12,3.1 to 4.5 GHz,LGA1200,14 nm,12MB,65 W
Core i5 10600,6 / 12,3.3 to 4.8 GHz,LGA1200,14 nm,12MB,65 W
Core i5 10600K,6 / 12,4.1 to 4.8 GHz,LGA1200,14 nm,12MB,125 W
Core i5 10600KF,6 / 12,4.1 to 4.8 GHz,LGA1200,14 nm,12MB,95 W
Core i5 1130G7,4 / 8,1.1 to 4 GHz,BGA1598,10 nm,8MB,15 W
Core i5 1135G7,4 / 8,2.4 to 4.2 GHz,BGA1449,10 nm,8MB,28 W
Core i5 11400,6 / 12,2.6 to 4.4 GHz,LGA1200,14 nm,12MB,65 W
Core i5 11400F,6 / 12,2.6 to 4.4 GHz,LGA1200,14 nm,12MB,65 W
Core i5 11400T,6 / 12,1.3 to 3.7 GHz,LGA1200,14 nm,12MB,35 W
Core i5 1145G7,4 / 8,2.6 to 4.4 GHz,BGA1449,10 nm,8MB,28 W
Core i5 11500,6 / 12,2.7 to 4.6 GHz,LGA1200,14 nm,12MB,65 W
Core i5 11500T,6 / 12,1.5 to 3.9 GHz,LGA1200,14 nm,12MB,35 W
Core i5 11600,6 / 12,2.8 to 4.8 GHz,LGA1200,14 nm,12MB,65 W
Core i5 11600K,6 / 12,3.9 to 4.9 GHz,LGA1200,14 nm,12MB,125 W
Core i5 11600KF,6 / 12,3.9 to 4.9 GHz,LGA1200,14 nm,12MB,125 W
Core i5 11600T,6 / 12,1.7 to 4.1 GHz,LGA1200,14 nm,12MB,35 W
Core i7 10510U,4 / 8,1.8 to 4.9 GHz,BGA1440,14 nm,8MB,25 W
Core i7 10510Y,4 / 8,1.2 to 4.5 GHz,BGA1440,14 nm,8MB,9 W
Core i7 1060G7,4 / 8,1 to 3.8 GHz,BGA1440,10 nm,8MB,12 W
Core i7 10610U,4 / 8,1.8 to 4.9 GHz,BGA1440,14 nm,8MB,25 W
Core i7 1065G7,4 / 8,1.3 to 3.9 GHz,BGA1440,10 nm,8MB,25 W
Core i7 1068G7,4 / 8,2.3 to 4.1 GHz,BGA1440,10 nm,8MB,28 W
Core i7 10700,8 / 16,2.9 to 4.8 GHz,LGA1200,14 nm,16MB,65 W
Core i7 10700F,8 / 16,2.9 to 4.8 GHz,LGA1200,14 nm,16MB,65 W
Core i7 10700K,8 / 16,3.8 to 5.1 GHz,LGA1200,14 nm,16MB,125 W
Core i7 10700KF,8 / 16,3.8 to 5.1 GHz,LGA1200,14 nm,16MB,125 W
Core i7 10710U,6 / 12,1.1 to 4.7 GHz,BGA1440,14 nm,12MB,25 W
Core i7 10750H,6 / 12,2.6 to 5 GHz,BGA1440,14 nm,8MB,45 W
Core i7 10810U,6 / 12,1.1 to 4.9 GHz,BGA1440,14 nm,12MB,25 W
Core i7 10850H,6 / 12,2.7 to 5.1 GHz,BGA1440,14 nm,8MB,45 W
Core i7 10870H,8 / 16,2.2 to 5 GHz,BGA1440,14 nm,12MB,45 W
Core i7 10875H,8 / 16,2.1 to 5.1 GHz,BGA1440,14 nm,12MB,45 W
Core i7 10885H,8 / 16,2.4 to 5.3 GHz,BGA1440,14 nm,12MB,45 W
Core i7 1160G7,4 / 8,1.2 to 4.4 GHz,BGA1598,10 nm,12MB,15 W
Core i7 1165G7,4 / 8,2.8 to 4.7 GHz,BGA1449,10 nm,12MB,28 W
Core i7 11700,8 / 16,2.5 to 4.9 GHz,LGA1200,14 nm,16MB,65 W
Core i7 11700F,8 / 16,2.5 to 4.9 GHz,LGA1200,14 nm,16MB,65 W
Core i7 11700K,8 / 16,3.6 to 5 GHz,LGA1200,14 nm,16MB,125 W
Core i7 11700KF,8 / 16,3.6 to 5 GHz,LGA1200,14 nm,16MB,125 W
Core i7 11700T,8 / 16,1.4 to 4.6 GHz,LGA1200,14 nm,16MB,35 W
Core i7 1185G7,4 / 8,3 to 4.8 GHz,BGA1449,10 nm,12MB,28 W
Core i9 10800F,10 / 20,2.7 to 5 GHz,LGA1200,14 nm,20MB,65 W
Core i9 10850K,10 / 20,3.6 to 5.2 GHz,LGA1200,14 nm,20MB,125 W
Core i9 10900,10 / 20,2.8 to 5.2 GHz,LGA1200,14 nm,20MB,65 W
Core i9 10900F,10 / 20,2.8 to 5.2 GHz,LGA1200,14 nm,20MB,65 W
Core i9 10900K,10 / 20,3.7 to 5.3 GHz,LGA1200,14 nm,20MB,125 W
Core i9 10900KF,10 / 20,3.7 to 5.3 GHz,LGA1200,14 nm,20MB,125 W
Core i9 10900X,10 / 20,3.7 to 4.7 GHz,LGA2066,14 nm,19.25MB,165 W
Core i9 10920X,12 / 24,3.5 to 4.8 GHz,LGA2066,14 nm,19.25MB,165 W
Core i9 10940X,14 / 28,3.3 to 4.8 GHz,LGA2066,14 nm,19.25MB,165 W
Core i9 10980HK,8 / 16,2.4 to 5.3 GHz,BGA1440,14 nm,16MB,45 W
Core i9 10980XE,18 / 36,3 to 4.8 GHz,LGA2066,14 nm,24.75MB,165 W
Core i9 10990XE,22 / 44,4 to 5 GHz,LGA2066,14 nm,30.25MB,380 W
Core i9 11900,8 / 16,2.5 to 5.2 GHz,LGA1200,14 nm,16MB,65 W
Core i9 11900F,8 / 16,2.5 to 5.2 GHz,LGA1200,14 nm,16MB,65 W
Core i9 11900K,8 / 16,3.5 to 5.3 GHz,LGA1200,14 nm,16MB,125 W
Core i9 11900KF,8 / 16,3.5 to 5.3 GHz,LGA1200,14 nm,16MB,125 W
Core i9 11900T,8 / 16,1.5 to 4.9 GHz,LGA1200,14 nm,16MB,35 W
Core i9 9900KS,8 / 16,4 to 5 GHz,LGA1151,14 nm,16MB,127 W
Pentium Gold G6400,2 / 4,4 GHz,LGA1200,14 nm,4MB,58 W
Pentium Gold G6405,2 / 4,4.1 GHz,LGA1200,14 nm,4MB,65 W
Pentium Gold G6405T,2 / 4,3.5 GHz,LGA1200,14 nm,4MB,35 W
Pentium Gold G6500,2 / 4,4.1 GHz,LGA1200,14 nm,4MB,58 W
Pentium Gold G6505,2 / 4,4.2 GHz,LGA1200,14 nm,4MB,65 W
Pentium Gold G6505T,2 / 4,3.6 GHz,LGA1200,14 nm,4MB,35 W
Pentium Gold G6600,2 / 4,4.2 GHz,LGA1200,14 nm,4MB,58 W
Pentium Gold G6605,2 / 4,4.3 GHz,LGA1200,14 nm,4MB,65 W
Name,Cores,Clock,Socket,Process,L3 Cache,TDP
