external_hard_drive_id,product_id,type,interface,capacity,price_per_gb,color
285277,112980,Desktop,USB 3.0,2000 GB,,
285278,112981,Portable,,250 GB,,
285279,112982,Portable,  in IEEE 1394b,USB 3.0  in,500 GB,,
285280,112983,Desktop,  in eSATA 6Gb/s,IEEE 1394b,USB 3.0  in,2000 GB,,
285281,112984,Portable,USB 3.0,2000 GB,0.05,
285282,112985,Desktop,USB 2.0,1000 GB,,
285283,112986,Desktop,USB 3.0,2000 GB,0.26,
285284,112987,Portable,  in Thunderbolt,USB 3.0  in,120 GB,,
285285,112988,Portable,USB 3.0,2000 GB,0.06,
285286,112989,Portable,,1000 GB,0.12,
285287,112990,Desktop,  in IEEE 1394b,USB 3.0  in,16000 GB,,
285288,112991,Desktop,USB 3.0,2000 GB,,
285289,112992,Portable,USB 3.0,500 GB,,
285290,112993,Portable,USB 3.0,500 GB,,
285291,112994,Portable,  in eSATA 3Gb/s,USB 2.0  in,1000 GB,,
285292,112995,Portable,USB 3.0,512 GB,0.71,Black
285293,112996,Desktop,USB 3.0,4000 GB,0.04,
285294,112997,Portable,USB 3.0,1000 GB,0.17,
285295,112998,Desktop,USB 3.0,8000 GB,,
285296,112999,Portable,USB 3.0,1000 GB,0.13,
285297,113000,Desktop,USB 3.0,3000 GB,0.12,
285298,113001,Desktop,USB 3.0,4000 GB,,
285299,113002,Desktop,USB 3.0,3000 GB,,
285300,113003,Portable,USB 3.0,1000 GB,,
285301,113004,Desktop,USB 3.0,2000 GB,,
285302,113005,Portable,USB 3.0,1000 GB,0.09,
285303,113006,Portable,USB 3.0,2000 GB,,
285304,113007,Desktop,USB 3.0,8000 GB,,
285305,113008,Portable,USB 3.0,500 GB,,
285306,113009,Desktop,  in Thunderbolt,USB 3.0  in,3000 GB,0.17,
285307,113010,Portable,USB 3.0,1000 GB,,
285308,113011,Portable,USB 3.0,750 GB,,
285309,113012,Portable,USB 3.0,2000 GB,0.07,
285310,113013,Portable,USB 3.0,1000 GB,,
285311,113014,Desktop,USB 3.0,4000 GB,,
285312,113015,Portable,USB 3.0,128 GB,,Black
285313,113016,Desktop,USB 3.0,3000 GB,,
285314,113017,Desktop,USB 3.0,4000 GB,,
285315,113018,Portable,USB 3.0,500 GB,,
285316,113019,Desktop,  in eSATA 3Gb/s,IEEE 1394/b,USB 2.0  in,1000 GB,,
285317,113020,Portable,USB 3.0,500 GB,,
285318,113021,Desktop,  in eSATA 3Gb/s,IEEE 1394b,USB 3.0  in,5000 GB,,
285319,113022,Desktop,  in Thunderbolt,USB 3.0  in,4000 GB,,
285320,113023,Portable,USB 3.0,2000 GB,,
285321,113024,Portable,USB 3.0,2000 GB,,
285322,113025,Portable,Thunderbolt,512 GB,,
285323,113026,Portable,USB 3.0,500 GB,,
285324,113027,Portable,  in IEEE 1394b,USB 3.0  in,500 GB,,
285325,113028,Desktop,USB 3.0,3000 GB,,
285326,113029,Desktop,  in Thunderbolt,USB 3.0  in,5000 GB,,
285327,113030,Desktop,USB 3.0,4000 GB,0.10,
285328,113031,Desktop,  in IEEE 1394b,USB 3.0  in,8000 GB,,
285329,113032,Desktop,USB 3.0,2000 GB,,
285330,113033,Portable,USB 3.0,750 GB,,
285331,113034,Portable,USB 3.0,1000 GB,0.12,
285332,113035,Portable,USB 3.0,500 GB,,
285333,113036,Desktop,,4000 GB,,
285334,113037,Portable,USB 3.0,500 GB,,
285335,113038,Desktop,  in IEEE 1394b,USB 3.0  in,6000 GB,,
285336,113039,Portable,USB 3.0,1000 GB,0.13,
285337,113040,Portable,USB 3.0,500 GB,0.38,
285338,113041,Desktop,USB 3.0,3000 GB,0.04,
285339,113042,Portable,USB 3.0,500 GB,0.35,
285340,113043,Desktop,USB 3.0,3000 GB,0.05,
285341,113044,Portable,USB 3.0,250 GB,,
285342,113045,Portable,USB 3.0,1500 GB,,
285343,113046,Portable,USB 2.0,1000 GB,,
285344,113047,Desktop,  in IEEE 1394b,USB 3.0  in,12000 GB,,
285345,113048,Portable,USB 3.0,500 GB,,
285346,113049,Portable,USB 3.0,500 GB,,
285347,113050,Portable,USB 3.0,512 GB,0.78,
285348,113051,Desktop,USB 2.0,2000 GB,0.20,
285349,113052,Desktop,USB 3.0,4000 GB,,
285350,113053,Portable,USB 3.0,128 GB,,
285351,113054,Portable,USB 3.0,1500 GB,,
285352,113055,Portable,USB 3.0,1500 GB,,
285353,113056,Portable,USB 3.0,1000 GB,,
285354,113057,Portable,USB 3.0,1500 GB,,
285355,113058,Desktop,USB 3.0,1000 GB,,
285356,113059,Desktop,USB 3.0,1000 GB,,
285357,113060,Portable,USB 3.0,500 GB,,
285358,113061,Desktop,USB 3.0,2000 GB,,
285359,113062,Portable,USB 3.0,1000 GB,0.31,
285360,113063,Portable,USB 2.0,500 GB,,
285361,113064,Desktop,USB 3.0,6000 GB,0.09,
285362,113065,Portable,USB 3.0,750 GB,,
285363,113066,Desktop,USB 3.0,3000 GB,,
285364,113067,Portable,USB 3.0,500 GB,,
285365,113068,Desktop,  in Thunderbolt,USB 3.0  in,3000 GB,,
285366,113069,Portable,USB 3.0,500 GB,,
285367,113070,Desktop,  in eSATA 6Gb/s,IEEE 1394b,USB 3.0  in,3000 GB,,
285368,113071,Portable,USB 2.0,750 GB,,
285369,113072,Portable,USB 2.0,1000 GB,,
285370,113073,Portable,USB 2.0,500 GB,,
285371,113074,Desktop,  in IEEE 1394b,USB 2.0  in,3000 GB,,
285372,113075,Desktop,USB 3.0,1000 GB,0.23,
285373,113076,Desktop,USB 3.0,5000 GB,,
285374,113077,Portable,USB 3.0,500 GB,,
285375,113078,Portable,USB 3.0,1000 GB,,
285376,113079,Desktop,Thunderbolt,512 GB,,
285377,113080,Desktop,Thunderbolt,256 GB,,
285378,113081,Portable,USB 3.0,1000 GB,0.10,
285379,113082,Desktop,USB 3.0,2000 GB,0.08,
285380,113083,Portable,USB 3.0,750 GB,,
285381,113084,Portable,USB 3.0,750 GB,,
285382,113085,Portable,USB 3.0,500 GB,,
285383,113086,Portable,USB 3.0,750 GB,,
285384,113087,Portable,USB 3.0,500 GB,,
285385,113088,Portable,  in IEEE 1394a,USB 3.0  in,1000 GB,,
285386,113089,Portable,USB 3.0,500 GB,,
285387,113090,Portable,USB 3.0,1000 GB,0.32,
285388,113091,Desktop,USB 3.0,2000 GB,,
285389,113092,Portable,USB 3.0,500 GB,,
285390,113093,Portable,USB 3.0,500 GB,,
285391,113094,Portable,USB 3.0,1000 GB,,
285392,113095,Portable,USB 3.0,1000 GB,,
285393,113096,Portable,USB 3.0,1000 GB,,
285394,113097,Desktop,  in eSATA 3Gb/s,IEEE 1394b,USB 3.0  in,2000 GB,,
285395,113098,Portable,USB 3.0,1500 GB,,
285396,113099,Portable,USB 3.0,500 GB,0.45,
285397,113100,Portable,USB 3.0,1500 GB,,
285398,113101,Desktop,  in Thunderbolt,USB 3.0  in,4000 GB,,
285399,113102,Desktop,USB 3.0,2000 GB,,
285400,113103,Portable,USB 3.0,1000 GB,,
285401,113104,Desktop,USB 3.0,4000 GB,,
285402,113105,Portable,USB 3.0,320 GB,0.44,
285403,113106,Portable,USB 3.0,500 GB,,
285404,113107,Portable,USB 3.0,500 GB,,
285405,113108,Desktop,USB 3.0,1000 GB,,
285406,113109,Desktop,  in IEEE 1394b,USB 3.0  in,4000 GB,,
285407,113110,Portable,USB 2.0,320 GB,,
285408,113111,Portable,USB 3.0,1000 GB,,
285409,113112,Portable,USB 3.0,1000 GB,0.27,
285410,113113,Desktop,,500 GB,,
285411,113114,Desktop,,250 GB,,
285412,113115,Portable,USB 3.0,1000 GB,,
285413,113116,Portable,USB 3.0,320 GB,,
285414,113117,Portable,USB 3.0,250 GB,,
285415,113118,Portable,,500 GB,,
285416,113119,Portable,USB 3.0,500 GB,,
285417,113120,Portable,USB 3.0,1000 GB,,
285418,113121,Desktop,USB 3.0,2000 GB,,
285419,113122,Desktop,USB 3.0,4000 GB,,
